nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform,kondisi
Nokia 150 TA - 1235 DS,556.800,5,Terjual 18,,Hp,Nokia,Blibli,Baru
Baru Nokia 105 hrg murah meriah gransi resmi,245.000,,,,Hp,Nokia,Blibli,Baru
NOKIA 105 LEDA GARANSI RESMI - NEW,259.000,5,Terjual 49,Kota Surabaya,Hp,Nokia,Blibli,Baru
NOKIA 110 2024 GARANSI RESMI - PROMO,323.000,5,Terjual 32,Kota Surabaya,Hp,Nokia,Blibli,Baru
NOKIA 105 FOX (2024) GARANSI RESMI - PROMO,249.000,,Terjual 142,Kota Surabaya,Hp,Nokia,Blibli,Baru
NOKIA 130 FRODO BASIC GARANSI RESMI - PROMO,397.000,,,Kota Surabaya,Hp,Nokia,Blibli,Baru
NOKIA 130 FRODO BASIC GARANSI RESMI - NEW,499.000,,,Kota Surabaya,Hp,Nokia,Blibli,Baru
Nokia 210 Handphone,480.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 New 2019 Handphone [4MB/ 4MB/ Dual SIM] hitam,280.000,,,,Hp,Nokia,Blibli,Baru
Nokia 105 Garansi Resmi TAM,255.000,"4,6",Terjual 987,,Hp,Nokia,Blibli,Baru
nokia 105 resmi TAM,275.000,5,Terjual 298,,Hp,Nokia,Blibli,Baru
Hp Nokia C20 Ram 2GB Internal 16GB Garansi Resmi,1.299.000,,,Kota Pekanbaru,Hp,Nokia,Blibli,Baru
Nokia 150 Handphone,474.000,,,,Hp,Nokia,Blibli,Baru
nokia 105 leda garansi resmi,248.000,5,Terjual 37,,Hp,Nokia,Blibli,Baru
Pre-order,520.000,5,Terjual 32,,Hp,Nokia,Blibli,Baru
NOKIA 105,500.000,5,Terjual 5,,Hp,Nokia,Blibli,Baru
NOKIA 105 SIMBA 2022 GARANSI RESMI,290.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
NOKIA 110 2024 VOX GARANSI FRESMI,330.000,,Terjual 1,,Hp,Nokia,Blibli,Baru
NOKIA 150 2024 FRODO MUSIC GARANSI RESMI,472.000,5,Terjual 1,,Hp,Nokia,Blibli,Baru
