web_scraper_order,web_scraper_start_url,product_link,product_name,price,rating,review_count,sold,seller,category,brand,condition,sold_text,sold_num
1774593184-152,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/4digitkomputer/laptop-advan-soulmate-plus-1405-l24h-r53s1-amd-ryzen-5-3500u-8gb-ddr4-256gb-ssd-amd-radeon-rx-vega-8-14inch-hd-camera-wi-fi-5-bluetooth-5-0-win11-resmi-1734394420987201190?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Laptop Advan Soulmate Plus 1405-L24H-R53S1 (AMD Ryzen 5-3500U/8GB DDR4/256GB SSD/AMD Radeon RX Vega 8/14Inch HD/Camera/Wi-Fi 5/Bluetooth 5.0/Win11/Resmi),4300000.0,0,0 rating • 0 ulasan,Terjual 0,4digitkomputer,Laptop,Advan,Bekas,Terjual 0,0
1774593187-153,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-soulmate-1405-2024-intel-celeron-n4020-ram-8-gb-ssd-128-gb-05777-dus-1734506498893645575?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Soulmate 1405 2024 Intel Celeron N4020 RAM 8 GB SSD 128 GB (05777) Dus,1800000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593191-154,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-soulmate-1405-intel-celeron-n4020-cpu-ram-8gb-ssd-128gb-2022-21253-1734381259173889799?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN SOULMATE 1405 INTEL CELERON N4020 CPU RAM 8GB SSD 128GB 2022 (21253),1300000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593194-155,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-workpro-1405-intel-celeron-n4020-cpu-ram-4-128-ssd-2024-006727-1734721742560986887?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,ADVAN WORKPRO 1405 INTEL CELERON N4020 CPU RAM 4/128 SSD (2024) 006727,1500000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593198-156,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-vanbook-intel-core-i3-10110u-ram-4-hdd-1-tb-b0321-dus-1734654946655241991?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Vanbook V303 Intel Core i3 10110U Ram 4 HDD 1 Tb (B0321)  Dus,1800000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593201-157,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/edelweissstore16/advan-soulmate-1405-2022-intel-celeron-n4020-ram-4-gb-ssd-128-gb-00277-1734229168025601205?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Soulmate 1405 2022 Intel Celeron N4020 RAM 4 GB SSD 128 GB (00277),870000.0,0,0 rating • 0 ulasan,Terjual 0,Edelweiss Store16,Laptop,Advan,Bekas,Terjual 0,0
1774593205-158,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-tbook-1405-2024-intel-n100-ram-4-128-ssd-22120-dus-1734400277220853511?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Tbook 1405 (2024) Intel N100 Ram 4/128 SSD (22120) Dus,1700000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593208-159,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/fineapplestore/advan-soulmate-1405-intel-celeron-n4020-ram-4-ssd-256-gb-emmc-128-gb-90378-1734556458006251271?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,Advan Soulmate 1405 Intel Celeron N4020 Ram 4 SSD 256 Gb + eMMC 128 Gb (90378),1800000.0,0,0 rating • 0 ulasan,Terjual 0,Fine Applestore,Laptop,Advan,Bekas,Terjual 0,0
1774593212-160,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/josskomputer-1/advan-t-book-transformers-amd-ryzen-7-6800h-ram-16gb-ssd-512gb-radeon-graphics-15-6-fhd-key-backlit-1734611289337726699?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,"Advan T-book Transformer 1405 Intel N100 / Ram 4GB / Emmc 128GB / 14""/ Murah",3025000.0,0,0 rating • 0 ulasan,Terjual 0,Josskomputer Bogen,Laptop,Advan,Bekas,Terjual 0,0
1774593216-161,https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=laptop%20advan,https://www.tokopedia.com/luxurylaptop/laptop-advan-x360-stylush-pro-1401-slim-ryzen-5-ssd-512gb-ram-8gb-ddr4-3200mhz-backlight-touchscreen-second-1734662301717923567?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D2026032706225937BC2F75BF1BCF3418JX%26src%3Dsearch,LAPTOP ADVAN X360 STYLUSH PRO 1401 SLIM RYZEN 5 SSD 512GB RAM 8GB DDR4 3200MHZ BACKLIGHT TOUCHSCREEN SECOND,6397000.0,0,0 rating • 0 ulasan,Terjual 0,Luxury Laptop,Laptop,Advan,Bekas,Terjual 0,0
