nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Nokia 105 2023 Dual Sim Garansi Resmi - Cyan,275.000,,,Kota Denpasar,Hp,Nokia,Bliblii
Nokia 105 2023 Dual Sim Garansi Resmi - Cyan,275.000,,,Kota Denpasar,Hp,Nokia,Bliblii
nokia 105,250.000,,Terjual 5,,Hp,Nokia,Bliblii
"Nokia 150 2024, Garansi Resmi",524.000,5,Terjual 17,,Hp,Nokia,Bliblii
Pre-order,259.000,,Terjual 18,,Hp,Nokia,Bliblii
"NOKIA 105 Fox 2024 GARANSI RESMI LCD 2"" QQVGA, Baterai Besar 1000mAh",254.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia 110 SHAKA,299.000,,Terjual 3,,Hp,Nokia,Bliblii
Pre-order,515.000,,,,Hp,Nokia,Bliblii
"Nokia 105 Leda 2023 Edition - Dual SIM, Baterai 1000mAh - Garansi resmi",241.000,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia 150 TA - 1235 DS,556.800,5,Terjual 18,,Hp,Nokia,Bliblii
"Nokia 105 Leda 2023 Edition - Dual SIM, Baterai 1000mAh - Garansi resmi PARASTAR",241.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Bliblii
"Nokia 105 Fox 2024 - MP3 Player, MicroSD, Dual SIM, Baterai 1020mAh - Garansi resmi",251.000,5,Terjual 3,Kota Jakarta Pusat,Hp,Nokia,Bliblii
nokia 105 fox 2024 mp3 garansi resmi,259.000,,Terjual 3,,Hp,Nokia,Bliblii
Nokia 105 candybar,290.000,,,,Hp,Nokia,Bliblii
Nokia 105 New,299.000,,Terjual 1,,Hp,Nokia,Bliblii
NOKIA 105 2023 LEIDA NEW GARANSI RESMI,249.000,"4,6",Terjual 12,Kota Medan,Hp,Nokia,Bliblii
nokia 105 simba garansi resmi,290.000,,,,Hp,Nokia,Bliblii
NOKIA 6670,351.000,,,,Hp,Nokia,Bliblii
Nokia 105 2019 Handphone,240.000,5,Terjual 161,,Hp,Nokia,Bliblii
Nokia 105 (2024) Garansi Resmi,279.000,5,Terjual 2,Kota Semarang,Hp,Nokia,Bliblii
Nokia 130 Handphone,350.000,"4,8",Terjual 19,,Hp,Nokia,Bliblii
HP NOKIA 105,260.000,,,,Hp,Nokia,Bliblii
Nokia 110,350.000,,,,Hp,Nokia,Bliblii
Nokia 105 2019 Handphone,350.000,5,Terjual 3,,Hp,Nokia,Bliblii
Nokia 105 2019 Handphone,270.000,,Terjual 1,,Hp,Nokia,Bliblii
Nokia 105 2019 Handphone,249.000,,Terjual 2,,Hp,Nokia,Bliblii
Nokia 105 Handphone - Biru,279.000,5,Terjual 8,,Hp,Nokia,Bliblii
Nokia 5310 2020 Handphone,725.000,5,Terjual 10,,Hp,Nokia,Bliblii
Nokia 105 Handphone - Black,279.000,,,,Hp,Nokia,Bliblii
Nokia 105 Handphone - Biru,258.000,5,Terjual 15,,Hp,Nokia,Bliblii
Nokia 105 2019 Handphone,280.000,,Terjual 1,,Hp,Nokia,Bliblii
Nokia 150 Handphone - Black  -,470.000,,,,Hp,Nokia,Bliblii
Nokia 105 Handphone - Black,250.000,5,Terjual 6,,Hp,Nokia,Bliblii
Nokia 105 Handphone - Biru,300.000,,,,Hp,Nokia,Bliblii
HP NOKIA 110,360.000,,,,Hp,Nokia,Bliblii
Nokia 105 King 2019 Handphone,240.000,,Terjual 1,,Hp,Nokia,Bliblii
Nokia 150 Handphone - White,499.000,,Terjual 1,,Hp,Nokia,Bliblii
Nokia 105 DS 2017 Handphone White,249.000,4,Terjual 8,,Hp,Nokia,Bliblii
Nokia 210 DS Handphone - Grey,450.000,,,,Hp,Nokia,Bliblii
Nokia 150 Handphone - Black  -,520.000,,,,Hp,Nokia,Bliblii
Nokia 105 2017 Handphone - Neo Black Black,300.000,,Terjual 8,,Hp,Nokia,Bliblii
Nokia 105 King 2019 tAm,250.000,5,Terjual 15,,Hp,Nokia,Bliblii
NOKIA 105 2023 GARANSI RESMI,315.000,,,,Hp,Nokia,Bliblii
"Nokia 105 (2019) (Pink, )",250.000,,,,Hp,Nokia,Bliblii
Nokia 150 new,599.000,,Terjual 2,Kota Medan,Hp,Nokia,Bliblii
hp nokia 105 original,335.000,,,,Hp,Nokia,Bliblii
NOKIA 110 2024 GARANSI RESMI,334.000,5,Terjual 2,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia 105 (2024) New Garansi Resmi,289.000,,Terjual 1,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Nokia 105 (2023) - Garansi Resmi,299.000,,Terjual 3,Kota Jakarta Timur,Hp,Nokia,Bliblii
[jikalaku] Nokia 150 Frodo Music Garansi Resmi,465.700,5,Terjual 3,Kota Jakarta Pusat & kota lainnya,Hp,Nokia,Bliblii
NOKIA 130 FRODO Garansi resmi 100% original,397.000,,,Kota Jakarta Pusat,Hp,Nokia,Bliblii
Tablet nokia T21 ram 4GB internal 64GB garansi resmi,3.299.000,,Terjual 1,Kota Pekanbaru,Hp,Nokia,Bliblii
Hp Nokia 150 New 2020,490.000,,Terjual 4,,Hp,Nokia,Bliblii
Nokia 105 King 2019 Garansi TAM,229.000,"4,8",Terjual 187,,Hp,Nokia,Bliblii
Nokia 105 (2023),299.000,5,Terjual 77,,Hp,Nokia,Bliblii
Nokia 110 (2022),500.000,5,Terjual 40,,Hp,Nokia,Bliblii
NOKIA 105 Black / NOKIA 105 Hitam,350.000,,,,Hp,Nokia,Bliblii
NOKIA 105 Black / NOKIA 105 Hitam,350.000,,Terjual 60,,Hp,Nokia,Bliblii
Nokia 110 2019,320.000,4,Terjual 20,,Hp,Nokia,Bliblii
NOKIA 105,320.000,,,,Hp,Nokia,Bliblii
NOKIA 150,480.000,,,,Hp,Nokia,Bliblii
NOKIA 110 FOX 2024 GARANSI RESMI NOKIA,399.000,,,,Hp,Nokia,Bliblii
Nokia 110,350.000,,,,Hp,Nokia,Bliblii
Nokia 105 2023,290.000,5,Terjual 7,,Hp,Nokia,Bliblii
Nokia 110,399.000,,,,Hp,Nokia,Bliblii
nokia 150,500.000,,Terjual 13,,Hp,Nokia,Bliblii
Nokia 210,500.000,,Terjual 2,,Hp,Nokia,Bliblii
Nokia 110,385.000,,,,Hp,Nokia,Bliblii
Nokia 110 2019,350.000,,,,Hp,Nokia,Bliblii
