nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
hp samsung galaxy s21,13.999.000,,,,Hp,Samsung,Bliblii
Hp Samsung A20s,2.500.000,,Terjual 27,,Hp,Samsung,Bliblii
hp samsung a14 6/128,2.699.000,,Terjual 1,Kota Batam,Hp,Samsung,Bliblii
HP SAMSUNG A22 6/128 LTE,2.999.000,,Terjual 2,,Hp,Samsung,Bliblii
Hp Samsung Galaxy a53 8/256,6.299.000,,,,Hp,Samsung,Bliblii
HP SAMSUNG S23 ULTRA 256GB,18.950.000,,Terjual 3,,Hp,Samsung,Bliblii
HP SAMSUNG S23 ULTRA 256GB,19.999.000,,Terjual 5,,Hp,Samsung,Bliblii
Hp Samsung Galaxy S25 Ultra 256,22.999.000,,Terjual 10,,Hp,Samsung,Bliblii
Hp Samsung Galaxy A54 8/128,5.800.000,,Terjual 17,,Hp,Samsung,Bliblii
Handphone Samsung A20 Garansi Res.i,1.999.700,,,,Hp,Samsung,Bliblii
Hp Samsung A56 5g 8/256,6.200.000,,Terjual 250,,Hp,Samsung,Bliblii
SAMSUNG Smartphone,26.999.000,,Terjual 7,,Hp,Samsung,Bliblii
Hp Samsung A16 4g 8/256,3.400.000,,Terjual 67,,Hp,Samsung,Bliblii
hp samsung a34 5g 8/128,4.800.000,,Terjual 1,Kota Batam,Hp,Samsung,Bliblii
Hp Samsung A25 5g 8/128,3.699.000,,Terjual 48,,Hp,Samsung,Bliblii
Hp Samsung Galaxy A14 5g 6/128,2.799.000,,Terjual 13,,Hp,Samsung,Bliblii
Hp Samsung Galaxy Z Flip 5 Ram 256GB,13.999.000,,,Kota Pekanbaru,Hp,Samsung,Bliblii
Samsung smartphone A24,3.999.000,,,,Hp,Samsung,Bliblii
HP SAMSUNG S21 FE 5G 8/128GB,7.999.000,,,,Hp,Samsung,Bliblii
HP SAMSUNG A53 RAM 8/256 BNOB BY ORDER,5.744.000,,,,Hp,Samsung,Bliblii
HP Samsung Galaxy A03 4/128GB Terbaru Dijamin Original,2.099.000,,,,Hp,Samsung,Bliblii
Samsung smartphone A34 5G,5.100.000,5,Terjual 1,,Hp,Samsung,Bliblii
HP SAMSUNG A03 CORE MINT BRONZE ONYX GARANSI 1 TAHUN,1.249.000,,,,Hp,Samsung,Bliblii
HP Samsung Galaxy A04S 4/64 GB Garansi Resmi,1.818.000,,,,Hp,Samsung,Bliblii
SAMSUNG GALAXY A36 5G RAM 8GB/256GB | 12GB/256GB GARANSI RESMI,5.725.000,,,,Hp,Samsung,Bliblii
Samsung Note 10+ Smartphone,5.191.211,5,Terjual 1,,Hp,Samsung,Bliblii
