web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,detail produk,nama toko
"1777546491-16","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Oppo A37 Fullset OK","Rp500.000","4.2","Terjual 100+","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/tokoacoy/oppo-a37-fullset-ok?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Tokoacoy Official_NEW"
"1777546493-17","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Realme C21Y 4/64GB Garansi Resmi","Rp1.000.000","5","Terjual 22","Kota Administrasi Jakarta Barat","https://www.tokopedia.com/fastgadget/realme-c21y-4-64gb-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","FAST GADGET OFFICIAL"
"1777546496-18","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","hp realme C2 2/32GB fullset mulus Net - 2/16","Rp700.000","5","Terjual 28","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/didoalfarezi/hp-realme-c2-2-32gb-fullset-mulus-net-2-16?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","pho pho cell"
"1777546498-19","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Oppo A37 Ram 2gb Internal 16gb","Rp255.000","3.4","Terjual 50+","Kab. Tangerang","https://www.tokopedia.com/putsulung/oppo-a37-ram-2gb-internal-16gb-1731380277684372997?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","Putra Sulung Ponsel"
"1777546501-20","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","HP XIAOMI POCOPHONE 4/64 GB","Rp2.200.000","5","Terjual 6","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/fst14/hp-xiaomi-pocophone-4-64-gb-1732431255347889710?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","FST14"
"1777546504-21","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","sony Xperia xz2 ram 4/64gb 4 / 64 gb second original","Rp1.380.000","5","Terjual 10","Kota Bekasi","https://www.tokopedia.com/lana-cellindo/sony-xperia-xz2-ram-4-64gb-4-64-gb-second-original-1730863558139611080?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","lana cellindo"
"1777546506-22","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","HP MITO 120 Magic Voice Promo Murah Cuci Gudang (BUKAN SMARTPHONE) - Putih, SD Card 4GB","Rp115.000","4","Terjual 14","Kab. Banyumas","https://www.tokopedia.com/sericell/hp-mito-120-magic-voice-promo-murah-cuci-gudang-bukan-smartphone-putih-sd-card-4gb-bd269?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","seri cell"
"1777546508-23","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","Vivo V40 Lite 4G 8/256Gb Second Resmi Original - 8/256 GB","Rp2.500.000","5","Terjual 12","Kota Administrasi Jakarta Pusat","https://www.tokopedia.com/dison-cell/vivo-v40-lite-4g-8-256gb-second-resmi-original-1731772098741569121?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","DISON CELL"
"1777546510-24","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","hp redmi note 7 optimasi marketplace tiktok oprek hp bekas original 100% murah hp root online root magisk","Rp1.700.000","","","Kab. Bantul","https://www.tokopedia.com/handphoneecanggih/hp-redmi-note-7-optimasi-marketplace-tiktok-oprek-hp-bekas-original-100-murah-hp-root-online-root-magisk-1730079557011866909?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","HANDPHONEE CANGGIH"
"1777546513-25","https://www.tokopedia.com/search?condition=2&navsource=&srp_component_id=04.06.00.00&srp_page_id=&srp_page_title=&st=&q=hp%20zte","sony xperia 5 ram 6 gb / 64 gb 6/64 gb second original - 93-97%","Rp2.100.000","4.5","Terjual 100+","Kota Bekasi","https://www.tokopedia.com/lana-cellindo/sony-xperia-5-ram-6-gb-64-gb-6-64-gb-second-original-93-97-b61ea?extParam=ivf%3Dfalse%26keyword%3Dhp+zte%26search_id%3D20260430105325EDDEA82AD2755B04F4F6%26src%3Dsearch","lana cellindo"
