web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1778027788-59","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y100 4G Ram 8GB Rom 256GB","2.440.000","","","","Kota Surabaya"
"1778027788-60","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V50 Lite Ram 8GB Rom 128GB","3.289.000","","","","Kota Surabaya"
"1778027788-61","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V29E Ram 8GB Rom 256GB","3.889.000","","","","Kota Surabaya"
"1778027788-62","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo X100 5G Ram 12GB Rom 256GB","9.988.000","","","","Kota Surabaya"
"1778027788-63","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo y19s pro","2.199.000","5","Terjual 1","","Kota Surabaya"
"1778027788-64","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y53S","3.625.020","","","","Kota Surabaya"
"1778027788-65","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","VIVO Y21D 6/128","2.799.000","","","","Kota Surabaya & kota lainnya"
"1778027788-66","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V30 5G Ram 8GB Rom 256GB","3.889.000","","","","Kota Surabaya"
"1778027788-67","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y100 Ram 8GB Rom 128GB","1.940.000","","","","Kota Surabaya"
"1778027788-68","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y100 Ram 8GB Rom 256GB","2.840.000","","","","Kota Surabaya"
"1778027788-69","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo Y36 4G Ram 8GB Rom 256GB","1.740.000","","","","Kota Surabaya"
"1778027788-70","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V40 Lite 4G Ram 8GB Rom 128GB","2.540.000","","","","Kota Surabaya"
"1778027788-71","https://www.blibli.com/cari/hp%20vivo?brand=VIVO&sort=0&category=AN-1000001&intent=false&firstLoad=false&page=10&start=360","Vivo V40 Lite Ram 8GB Rom 256GB","2.715.000","","","","Kota Surabaya"
