web_scraper_order,web_scraper_start_url,nama produk,harga,rating,jumlah terjual,lokasi penjual,nama toko
"1777249793-56","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D16 i5/i7 12th 16GB/512GB/16.0""/WIN11+OHS2021 (SILVER)","12.999.000","","Terjual 6","",""
"1777249793-57","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","Huawei D 14 MateBook [AMD Ryzen 7 3700U/ 8GB DDR4/ 512GB/ 14 Inch/ Windows 10 Home]","17.000.000","5","Terjual 4","",""
"1777249793-58","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MATEBOOK D15 256GB LAPTOP","8.699.000","","","","Kota Malang"
"1777249793-59","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook X Pro 2020 Laptop","29.999.000","","","","Kota Malang"
"1777249793-60","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","Huawei MateBook D14 Laptop [Intel i5/8GB/512GB/14-Inch FullView Display]","11.499.000","","","","Kota Malang"
"1777249793-61","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","Huawei D 14 MateBook [AMD Ryzen 7 3700U/ 8GB DDR4/ 512GB/ 14 Inch/ Windows 10 Home]","10.499.000","","","","Kota Malang"
"1777249793-62","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D 16 Laptop | 16GB + 1TB | 70Wh","9.999.000","","Terjual 3","","Kota Depok"
"1777249793-63","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D 14 i5-12450H | 8+512GB SSD |Sleek Full Metal Body | Win11 Laptop |Eye Comfort HUAWEI Fullview Display |HUAWEI Metaline Antenna","7.599.000","5","Terjual 3","","Kab. Jember"
"1777249793-64","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook XPro [ Intel Core i7 12th Gen | 16 +1TB ] Laptop","32.999.000","","","","Kota Jakarta Utara"
"1777249793-65","https://www.blibli.com/cari/laptop%20huawei?brand=HUAWEI&sort=0&category=UL-1000001&category=LA-1000004&intent=false&firstLoad=false","HUAWEI MateBook D16 Laptop | 16GB + 1TB | Intel® Core™ i5/i9 | Silver","9.999.000","","Terjual 1","","Kota Jakarta Utara"
